<UNK> 1.0	SPN
pyé-la 1.0	pp yy ei ll aa 
pyé-la 1.0	p  j  e  l  ɑ  
pyès-bannann 1.0	pp yy ai bb aa nn an nn 
pyès-bannann 1.0	p  j  ɛ  b  ɑ  n  ɑ̃  n  
pyès-bannann-la 1.0	pp yy ai bb aa nn an nn ll aa 
pyès-bannann-la 1.0	p  j  ɛ  b  ɑ  n  ɑ̃  n  l  ɑ  
pyès-fanm 1.0	pp yy ai ff an mm 
pyès-fanm 1.0	p  j  ɛ  f  ɑ̃  m  
pyèskann-la 1.0	pp yy ai ss kk an nn ll aa 
pyèskann-la 1.0	p  j  ɛ  s  k  ɑ̃  n  l  ɑ  
pyété 1.0	pp yy ei tt ei 
pyété 1.0	p  j  e  t  e  
qu'a 1.0	kk aa 
qu'a 1.0	k  ɑ  
qualité 1.0	kk aa ll ii tt ei 
qualité 1.0	k  ɑ  l  i  t  e  
que 1.0	kk 
que 1.0	kk ee 
que 1.0	k  
que 1.0	k  ə  
quel 1.0	kk ai ll 
quel 1.0	k  ɛ  l  
quelle 1.0	kk ai ll 
quelle 1.0	k  ɛ  l  
qu'est 1.0	kk ai ss tt 
qu'est 1.0	k  ɛ  s  t  
qui 1.0	kk ii 
qui 1.0	k  i  
quoi 1.0	kk ww aa 
quoi 1.0	k  w  ɑ  
rakonté-w 1.0	rr aa kk on tt ei dd ou bb ll ee vv ei 
rakonté-w 1.0	rr aa kk on tt ei dd ou bb ll vv ei 
rakonté-w 1.0	ʁ  ɑ  k  ɔ̃  t  e  d  u  b  l  ə  v  e  
rakonté-w 1.0	ʁ  ɑ  k  ɔ̃  t  e  d  u  b  l  v  e  
rakoun 1.0	rr aa kk ou nn 
rakoun 1.0	ʁ  ɑ  k  u  n  
ranjé 1.0	rr an jj ei 
ranjé 1.0	ʁ  ɑ̃  ʒ  e  
rankontré 1.0	rr an kk on tt rr ei 
rankontré 1.0	ʁ  ɑ̃  k  ɔ̃  t  ʁ  e  
ranmé 1.0	rr an mm ei 
ranmé 1.0	ʁ  ɑ̃  m  e  
rann 1.0	rr an nn 
rann 1.0	ʁ  ɑ̃  n  
rann-li 1.0	rr an nn ll ii 
rann-li 1.0	ʁ  ɑ̃  n  l  i  
rann-mwen 1.0	rr an nn mm ww ai nn 
rann-mwen 1.0	ʁ  ɑ̃  n  m  w  ɛ  n  
ranpli 1.0	rr an pp ll ii 
ranpli 1.0	ʁ  ɑ̃  p  l  i  
rantré 1.0	rr an tt rr ei 
rantré 1.0	ʁ  ɑ̃  t  ʁ  e  
rapidman 1.0	rr aa pp ii dd mm an 
rapidman 1.0	rr aa pp ii dd mm an nn 
rapidman 1.0	ʁ  ɑ  p  i  d  m  ɑ̃  
rapidman 1.0	ʁ  ɑ  p  i  d  m  ɑ̃  n  
rapo 1.0	rr aa pp au 
rapo 1.0	ʁ  ɑ  p  o  
raport 1.0	rr aa pp oo rr 
raport 1.0	rr aa pp oo rr tt 
raport 1.0	ʁ  ɑ  p  ɔ  ʁ  
raport 1.0	ʁ  ɑ  p  ɔ  ʁ  t  
rapport 1.0	rr aa pp oo rr 
rapport 1.0	rr aa pp oo rr tt 
rapport 1.0	ʁ  ɑ  p  ɔ  ʁ  
rapport 1.0	ʁ  ɑ  p  ɔ  ʁ  t  
rasazié 1.0	rr aa zz aa zz yy ei 
rasazié 1.0	ʁ  ɑ  z  ɑ  z  j  e  
rasist 1.0	rr aa zz ii ss tt 
rasist 1.0	ʁ  ɑ  z  i  s  t  
ratt 1.0	rr aa tt 
ratt 1.0	ʁ  ɑ  t  
ravin-la 1.0	rr aa vv in ll aa 
ravin-la 1.0	ʁ  ɑ  v  ɛ̃  l  ɑ  
rawman 1.0	rr aa ww mm an 
rawman 1.0	rr aa ww mm an nn 
rawman 1.0	ʁ  ɑ  w  m  ɑ̃  
rawman 1.0	ʁ  ɑ  w  m  ɑ̃  n  
réaji 1.0	rr ei aa jj ii 
réaji 1.0	ʁ  e  ɑ  ʒ  i  
rebelot 1.0	rr bb ee ll au 
rebelot 1.0	rr bb ee ll au tt 
rebelot 1.0	rr bb ll au 
rebelot 1.0	rr bb ll au tt 
rebelot 1.0	rr ee bb ee ll au 
rebelot 1.0	rr ee bb ee ll au tt 
rebelot 1.0	rr ee bb ll au 
rebelot 1.0	rr ee bb ll au tt 
rebelot 1.0	ʁ  b  ə  l  o  
rebelot 1.0	ʁ  b  ə  l  o  t  
rebelot 1.0	ʁ  b  l  o  
rebelot 1.0	ʁ  b  l  o  t  
rebelot 1.0	ʁ  ə  b  ə  l  o  
rebelot 1.0	ʁ  ə  b  ə  l  o  t  
rebelot 1.0	ʁ  ə  b  l  o  
rebelot 1.0	ʁ  ə  b  l  o  t  
réchèché 1.0	rr ei ch ai ch ei 
réchèché 1.0	ʁ  e  ʃ  ɛ  ʃ  e  
recherche 1.0	rr ch ai rr ch 
recherche 1.0	rr ch ai rr ch ee 
recherche 1.0	rr ee ch ai rr ch 
recherche 1.0	rr ee ch ai rr ch ee 
recherche 1.0	ʁ  ʃ  ɛ  ʁ  ʃ  
recherche 1.0	ʁ  ʃ  ɛ  ʁ  ʃ  ə  
recherche 1.0	ʁ  ə  ʃ  ɛ  ʁ  ʃ  
recherche 1.0	ʁ  ə  ʃ  ɛ  ʁ  ʃ  ə  
récho 1.0	rr ei ch au 
récho 1.0	ʁ  e  ʃ  o  
reconnaissance 1.0	rr ee kk oo nn ai ss an ss 
reconnaissance 1.0	rr kk oo nn ai ss an ss 
reconnaissance 1.0	ʁ  ə  k  ɔ  n  ɛ  s  ɑ̃  s  
reconnaissance 1.0	ʁ  k  ɔ  n  ɛ  s  ɑ̃  s  
reconnu 1.0	rr ee kk oo nn uu 
reconnu 1.0	rr kk oo nn uu 
reconnu 1.0	ʁ  ə  k  ɔ  n  y  
reconnu 1.0	ʁ  k  ɔ  n  y  
rèd 1.0	rr ai 
rèd 1.0	rr ai tt 
rèd 1.0	ʁ  ɛ  
rèd 1.0	ʁ  ɛ  t  
rédistribiyé 1.0	rr ei dd ii ss tt rr ii bb ii yy ei 
rédistribiyé 1.0	ʁ  e  d  i  s  t  ʁ  i  b  i  j  e  
référans 1.0	rr ei ff ei rr an 
référans 1.0	rr ei ff ei rr an zz 
référans 1.0	ʁ  e  f  e  ʁ  ɑ̃  
référans 1.0	ʁ  e  f  e  ʁ  ɑ̃  z  
réfléchi 1.0	rr ei ff ll ei ch ii 
réfléchi 1.0	ʁ  e  f  l  e  ʃ  i  
réflété 1.0	rr ei ff ll ei tt ei 
réflété 1.0	ʁ  e  f  l  e  t  e  
réfom 1.0	rr ei ff on 
réfom 1.0	ʁ  e  f  ɔ̃  
réglé 1.0	rr ei gg ll ei 
réglé 1.0	ʁ  e  g  l  e  
régléments 1.0	rr ei gg ll ei mm an 
régléments 1.0	rr ei gg ll ei mm an zz 
régléments 1.0	ʁ  e  g  l  e  m  ɑ̃  
régléments 1.0	ʁ  e  g  l  e  m  ɑ̃  z  
reine 1.0	rr ai nn 
reine 1.0	ʁ  ɛ  n  
réjyon 1.0	rr ei jj yy on 
réjyon 1.0	rr ei jj yy on nn 
réjyon 1.0	ʁ  e  ʒ  j  ɔ̃  
réjyon 1.0	ʁ  e  ʒ  j  ɔ̃  n  
rékolté 1.0	rr ei kk oo ll tt ei 
rékolté 1.0	ʁ  e  k  ɔ  l  t  e  
rékonésans 1.0	rr ei kk oo nn ei zz an 
rékonésans 1.0	rr ei kk oo nn ei zz an zz 
rékonésans 1.0	ʁ  e  k  ɔ  n  e  z  ɑ̃  
rékonésans 1.0	ʁ  e  k  ɔ  n  e  z  ɑ̃  z  
rékonèt 1.0	rr ei kk oo nn ai 
rékonèt 1.0	rr ei kk oo nn ai tt 
rékonèt 1.0	ʁ  e  k  ɔ  n  ɛ  
rékonèt 1.0	ʁ  e  k  ɔ  n  ɛ  t  
rékoni 1.0	rr ei kk oo nn ii 
rékoni 1.0	ʁ  e  k  ɔ  n  i  
rekonséyé 1.0	rr ee kk on ss ei yy ei 
rekonséyé 1.0	rr kk on ss ei yy ei 
rekonséyé 1.0	ʁ  ə  k  ɔ̃  s  e  j  e  
rekonséyé 1.0	ʁ  k  ɔ̃  s  e  j  e  
rèlasyon 1.0	rr ai ll aa zz yy on 
rèlasyon 1.0	rr ai ll aa zz yy on nn 
rèlasyon 1.0	ʁ  ɛ  l  ɑ  z  j  ɔ̃  
rèlasyon 1.0	ʁ  ɛ  l  ɑ  z  j  ɔ̃  n  
rèligieuz 1.0	rr ai ll ii jj yy eu 
rèligieuz 1.0	rr ai ll ii jj yy eu zz 
rèligieuz 1.0	ʁ  ɛ  l  i  ʒ  j  ø  
rèligieuz 1.0	ʁ  ɛ  l  i  ʒ  j  ø  z  
rèlijyon 1.0	rr ai ll ii jj yy on 
rèlijyon 1.0	rr ai ll ii jj yy on nn 
rèlijyon 1.0	ʁ  ɛ  l  i  ʒ  j  ɔ̃  
rèlijyon 1.0	ʁ  ɛ  l  i  ʒ  j  ɔ̃  n  
rèmakab 1.0	rr ai mm aa kk aa bb 
rèmakab 1.0	ʁ  ɛ  m  ɑ  k  ɑ  b  
ren 1.0	rr ai nn 
ren 1.0	ʁ  ɛ  n  
renne 1.0	rr ai nn 
renne 1.0	ʁ  ɛ  n  
rentes 1.0	rr an tt 
rentes 1.0	rr an tt zz 
rentes 1.0	ʁ  ɑ̃  t  
rentes 1.0	ʁ  ɑ̃  t  z  
rèpasé 1.0	rr ai pp aa zz ei 
rèpasé 1.0	ʁ  ɛ  p  ɑ  z  e  
répèrkité-y 1.0	rr ei pp ai rr kk ii tt ei ii 
répèrkité-y 1.0	ʁ  e  p  ɛ  ʁ  k  i  t  e  i  
répété 1.0	rr ei pp ei tt ei 
répété 1.0	ʁ  e  p  e  t  e  
répité 1.0	rr ei pp ii tt ei 
répité 1.0	ʁ  e  p  i  t  e  
répondè 1.0	rr ei pp on dd ai 
répondè 1.0	ʁ  e  p  ɔ̃  d  ɛ  
réponn 1.0	rr ei pp on nn 
réponn 1.0	ʁ  e  p  ɔ̃  n  
réponne 1.0	rr ei pp oo nn 
réponne 1.0	ʁ  e  p  ɔ  n  
reprann 1.0	rr ee pp rr an nn 
reprann 1.0	rr pp rr an nn 
reprann 1.0	ʁ  ə  p  ʁ  ɑ̃  n  
reprann 1.0	ʁ  p  ʁ  ɑ̃  n  
repren-y 1.0	rr ee pp rr in nn ii 
repren-y 1.0	rr pp rr in nn ii 
repren-y 1.0	ʁ  ə  p  ʁ  ɛ̃  n  i  
repren-y 1.0	ʁ  p  ʁ  ɛ̃  n  i  
rèpwoché’y 1.0	rr ai pp ww oo ch ei 
rèpwoché’y 1.0	ʁ  ɛ  p  w  ɔ  ʃ  e  
rès- 1.0	rr ai 
rès- 1.0	ʁ  ɛ  
résaman 1.0	rr ei zz aa mm an 
résaman 1.0	rr ei zz aa mm an nn 
résaman 1.0	ʁ  e  z  ɑ  m  ɑ̃  
résaman 1.0	ʁ  e  z  ɑ  m  ɑ̃  n  
résèt 1.0	rr ei zz ai 
résèt 1.0	rr ei zz ai tt 
résèt 1.0	ʁ  e  z  ɛ  
résèt 1.0	ʁ  e  z  ɛ  t  
résèvé 1.0	rr ei zz ai vv ei 
résèvé 1.0	ʁ  e  z  ɛ  v  e  
résisté 1.0	rr ei zz ii ss tt ei 
résisté 1.0	ʁ  e  z  i  s  t  e  
résous 1.0	rr ei zz ou 
résous 1.0	rr ei zz ou zz 
résous 1.0	ʁ  e  z  u  
résous 1.0	ʁ  e  z  u  z  
respè 1.0	rr ai ss pp ai 
respè 1.0	ʁ  ɛ  s  p  ɛ  
rèspè 1.0	rr ai ss pp ai 
rèspè 1.0	ʁ  ɛ  s  p  ɛ  
respékté 1.0	rr ai ss pp ei kk tt ei 
respékté 1.0	ʁ  ɛ  s  p  e  k  t  e  
rèspèté’y 1.0	rr ai ss pp ai tt ei 
rèspèté’y 1.0	ʁ  ɛ  s  p  ɛ  t  e  
respiré 1.0	rr ai ss pp ii rr ei 
respiré 1.0	ʁ  ɛ  s  p  i  ʁ  e  
responsab 1.0	rr ai ss pp on ss aa bb 
responsab 1.0	ʁ  ɛ  s  p  ɔ̃  s  ɑ  b  
résté 1.0	rr ei ss tt ei 
résté 1.0	ʁ  e  s  t  e  
rèsté 1.0	rr ai ss tt ei 
rèsté 1.0	ʁ  ɛ  s  t  e  
rété 1.0	rr ei tt ei 
rété 1.0	ʁ  e  t  e  
rétèni 1.0	rr ei tt ai nn ii 
rétèni 1.0	ʁ  e  t  ɛ  n  i  
retou 1.0	rr ee tt ou 
retou 1.0	rr tt ou 
retou 1.0	ʁ  ə  t  u  
retou 1.0	ʁ  t  u  
rétouné 1.0	rr ei tt ou nn ei 
rétouné 1.0	ʁ  e  t  u  n  e  
retrouvé 1.0	rr ee tt rr ou vv ei 
retrouvé 1.0	rr tt rr ou vv ei 
retrouvé 1.0	ʁ  ə  t  ʁ  u  v  e  
retrouvé 1.0	ʁ  t  ʁ  u  v  e  
révandiké 1.0	rr ei vv an dd ii kk ei 
révandiké 1.0	ʁ  e  v  ɑ̃  d  i  k  e  
reviré 1.0	rr ee vv ii rr ei 
reviré 1.0	rr vv ii rr ei 
reviré 1.0	ʁ  ə  v  i  ʁ  e  
reviré 1.0	ʁ  v  i  ʁ  e  
réviré 1.0	rr ei vv ii rr ei 
réviré 1.0	ʁ  e  v  i  ʁ  e  
rèviré 1.0	rr ai vv ii rr ei 
rèviré 1.0	ʁ  ɛ  v  i  ʁ  e  
révolisyion 1.0	rr ei vv oo ll ii zz yy on 
révolisyion 1.0	rr ei vv oo ll ii zz yy on nn 
révolisyion 1.0	ʁ  e  v  ɔ  l  i  z  j  ɔ̃  
révolisyion 1.0	ʁ  e  v  ɔ  l  i  z  j  ɔ̃  n  
révolisyon 1.0	rr ei vv oo ll ii zz yy on 
révolisyon 1.0	rr ei vv oo ll ii zz yy on nn 
révolisyon 1.0	ʁ  e  v  ɔ  l  i  z  j  ɔ̃  
révolisyon 1.0	ʁ  e  v  ɔ  l  i  z  j  ɔ̃  n  
réyinyon 1.0	rr ei yy ii nn yy on 
réyinyon 1.0	rr ei yy ii nn yy on nn 
réyinyon 1.0	ʁ  e  j  i  ɲ  ɔ̃  
réyinyon 1.0	ʁ  e  j  i  ɲ  ɔ̃  n  
réyisi 1.0	rr ei yy ii zz ii 
réyisi 1.0	ʁ  e  j  i  z  i  
rézilta 1.0	rr ei zz ii ll tt aa 
rézilta 1.0	ʁ  e  z  i  l  t  ɑ  
rézisté 1.0	rr ei zz ii ss tt ei 
rézisté 1.0	ʁ  e  z  i  s  t  e  
rézon 1.0	rr ei zz on 
rézon 1.0	rr ei zz on nn 
rézon 1.0	ʁ  e  z  ɔ̃  
rézon 1.0	ʁ  e  z  ɔ̃  n  
reztan 1.0	rr ai zz tt an 
reztan 1.0	rr ai zz tt an nn 
reztan 1.0	ʁ  ɛ  z  t  ɑ̃  
reztan 1.0	ʁ  ɛ  z  t  ɑ̃  n  
rhumes 1.0	rr uu mm 
rhumes 1.0	rr uu mm zz 
rhumes 1.0	ʁ  y  m  
rhumes 1.0	ʁ  y  m  z  
ri 1.0	rr ii 
ri 1.0	ʁ  i  
rich 1.0	rr ii ch 
rich 1.0	ʁ  i  ʃ  
richès 1.0	rr ii ch ai 
richès 1.0	rr ii ch ai zz 
richès 1.0	ʁ  i  ʃ  ɛ  
richès 1.0	ʁ  i  ʃ  ɛ  z  
richplèn 1.0	rr ii kk pp ll ai nn 
richplèn 1.0	ʁ  i  k  p  l  ɛ  n  
rio 1.0	rr yy au 
rio 1.0	ʁ  j  o  
rité 1.0	rr ii tt ei 
rité 1.0	ʁ  i  t  e  
ritm 1.0	rr ii tt mm 
ritm 1.0	ʁ  i  t  m  
rityé 1.0	rr ii tt yy ei 
rityé 1.0	ʁ  i  t  j  e  
rivé 1.0	rr ii vv ei 
rivé 1.0	ʁ  i  v  e  
rivé-mwen 1.0	rr ii vv ei mm ww ai nn 
rivé-mwen 1.0	ʁ  i  v  e  m  w  ɛ  n  
river 1.0	rr ii vv ei 
river 1.0	ʁ  i  v  e  
rivé-yo 1.0	rr ii vv ei yy au 
rivé-yo 1.0	ʁ  i  v  e  j  o  
rivyè 1.0	rr ii vv yy ai 
rivyè 1.0	ʁ  i  v  j  ɛ  
ronkontré 1.0	rr on kk on tt rr ei 
ronkontré 1.0	ʁ  ɔ̃  k  ɔ̃  t  ʁ  e  
rosa 1.0	rr oo zz aa 
rosa 1.0	ʁ  ɔ  z  ɑ  
rouj 1.0	rr ou jj 
rouj 1.0	ʁ  u  ʒ  
rousi 1.0	rr ou zz ii 
rousi 1.0	ʁ  u  z  i  
rsa 1.0	rr ss aa 
rsa 1.0	ʁ  s  ɑ  
rythmes 1.0	rr ii tt mm 
rythmes 1.0	rr ii tt mm zz 
rythmes 1.0	ʁ  i  t  m  
rythmes 1.0	ʁ  i  t  m  z  
s 1.0	ai ss 
s 1.0	ɛ  s  
sa 1.0	ss aa 
sa 1.0	s  ɑ  
sab 1.0	ss aa bb 
sab 1.0	s  ɑ  b  
sajès 1.0	ss aa jj ai 
sajès 1.0	ss aa jj ai zz 
sajès 1.0	s  ɑ  ʒ  ɛ  
sajès 1.0	s  ɑ  ʒ  ɛ  z  
sak 1.0	ss aa kk 
sak 1.0	s  ɑ  k  
saksofon 1.0	ss aa kk ss oo ff on 
saksofon 1.0	ss aa kk ss oo ff on nn 
saksofon 1.0	s  ɑ  k  s  ɔ  f  ɔ̃  
saksofon 1.0	s  ɑ  k  s  ɔ  f  ɔ̃  n  
sal 1.0	ss aa ll 
sal 1.0	s  ɑ  l  
salé 1.0	ss aa ll ei 
salé 1.0	s  ɑ  l  e  
salézon 1.0	ss aa ll ei zz on 
salézon 1.0	ss aa ll ei zz on nn 
salézon 1.0	s  ɑ  l  e  z  ɔ̃  
salézon 1.0	s  ɑ  l  e  z  ɔ̃  n  
salvado 1.0	ss aa ll vv aa dd au 
salvado 1.0	s  ɑ  l  v  ɑ  d  o  
sam 1.0	ss aa mm 
sam 1.0	s  ɑ  m  
samdi 1.0	ss an dd ii 
samdi 1.0	s  ɑ̃  d  i  
san 1.0	ss an 
san 1.0	ss an nn 
san 1.0	s  ɑ̃  
san 1.0	s  ɑ̃  n  
san- 1.0	ss an 
san- 1.0	s  ɑ̃  
sanblaj 1.0	ss an bb ll aa jj 
sanblaj 1.0	s  ɑ̃  b  l  ɑ  ʒ  
sanblanni 1.0	ss an bb ll aa nn ii 
sanblanni 1.0	s  ɑ̃  b  l  ɑ  n  i  
sanblé 1.0	ss an bb ll ei 
sanblé 1.0	s  ɑ̃  b  l  e  
sanglé 1.0	ss an gg ll ei 
sanglé 1.0	s  ɑ̃  g  l  e  
san-la 1.0	ss an ll aa 
san-la 1.0	s  ɑ̃  l  ɑ  
sanm 1.0	ss an mm 
sanm 1.0	s  ɑ̃  m  
sann 1.0	ss an nn 
sann 1.0	s  ɑ̃  n  
sans 1.0	ss an 
sans 1.0	ss an zz 
sans 1.0	s  ɑ̃  
sans 1.0	s  ɑ̃  z  
sans- 1.0	ss an 
sans- 1.0	s  ɑ̃  
sanséman 1.0	ss an ss ei mm an 
sanséman 1.0	ss an ss ei mm an nn 
sanséman 1.0	s  ɑ̃  s  e  m  ɑ̃  
sanséman 1.0	s  ɑ̃  s  e  m  ɑ̃  n  
sans-lasa 1.0	ss an ll aa zz aa 
sans-lasa 1.0	s  ɑ̃  l  ɑ  z  ɑ  
santé 1.0	ss an tt ei 
santé 1.0	s  ɑ̃  t  e  
santi 1.0	ss an tt ii 
santi 1.0	s  ɑ̃  t  i  
santiw 1.0	ss an tt ii ww 
santiw 1.0	s  ɑ̃  t  i  w  
santralkarayib 1.0	ss an tt rr aa ll kk aa rr ai yy ii bb 
santralkarayib 1.0	s  ɑ̃  t  ʁ  ɑ  l  k  ɑ  ʁ  ɛ  j  i  b  
sapoti 1.0	ss aa pp oo tt ii 
sapoti 1.0	s  ɑ  p  ɔ  t  i  
sasa 1.0	ss aa zz aa 
sasa 1.0	s  ɑ  z  ɑ  
sav 1.0	ss aa vv 
sav 1.0	s  ɑ  v  
savann 1.0	ss aa vv an nn 
savann 1.0	s  ɑ  v  ɑ̃  n  
save 1.0	ss aa vv 
save 1.0	s  ɑ  v  
savé 1.0	ss aa vv ei 
savé 1.0	s  ɑ  v  e  
savoir 1.0	ss aa vv ww aa rr 
savoir 1.0	s  ɑ  v  w  ɑ  ʁ  
scientifiquement 1.0	ss yy an tt ii ff ii kk ee mm an 
scientifiquement 1.0	ss yy an tt ii ff ii kk ee mm an tt 
scientifiquement 1.0	ss yy an tt ii ff ii kk mm an 
scientifiquement 1.0	ss yy an tt ii ff ii kk mm an tt 
scientifiquement 1.0	s  j  ɑ̃  t  i  f  i  k  ə  m  ɑ̃  
scientifiquement 1.0	s  j  ɑ̃  t  i  f  i  k  ə  m  ɑ̃  t  
scientifiquement 1.0	s  j  ɑ̃  t  i  f  i  k  m  ɑ̃  
scientifiquement 1.0	s  j  ɑ̃  t  i  f  i  k  m  ɑ̃  t  
scolaire 1.0	ss kk oo ll ai rr 
scolaire 1.0	s  k  ɔ  l  ɛ  ʁ  
se 1.0	ss 
se 1.0	ss ee 
se 1.0	s  
se 1.0	s  ə  
sé 1.0	ss ei 
sé 1.0	s  e  
sè 1.0	ss ai 
sè 1.0	s  ɛ  
séché 1.0	ss ei ch ei 
séché 1.0	s  e  ʃ  e  
séchress 1.0	ss ei kk rr ai ss 
séchress 1.0	s  e  k  ʁ  ɛ  s  
séé 1.0	ss ei ei 
séé 1.0	s  e  e  
sek 1.0	ss ai kk 
sek 1.0	s  ɛ  k  
sèk 1.0	ss ai kk 
sèk 1.0	s  ɛ  k  
sèksyon 1.0	ss ai kk ss yy on 
sèksyon 1.0	ss ai kk ss yy on nn 
sèksyon 1.0	s  ɛ  k  s  j  ɔ̃  
sèksyon 1.0	s  ɛ  k  s  j  ɔ̃  n  
sél 1.0	ss ei ll 
sél 1.0	s  e  l  
sèl 1.0	ss ai ll 
sèl 1.0	s  ɛ  l  
sela 1.0	ss ee ll aa 
sela 1.0	ss ll aa 
sela 1.0	s  ə  l  ɑ  
sela 1.0	s  l  ɑ  
séla 1.0	ss ei ll aa 
séla 1.0	s  e  l  ɑ  
sèlman 1.0	ss ai ll mm an 
sèlman 1.0	ss ai ll mm an nn 
sèlman 1.0	s  ɛ  l  m  ɑ̃  
sèlman 1.0	s  ɛ  l  m  ɑ̃  n  
sèn 1.0	ss ai nn 
sèn 1.0	s  ɛ  n  
senbat 1.0	ss an bb aa 
senbat 1.0	ss an bb aa tt 
senbat 1.0	s  ɑ̃  b  ɑ  
senbat 1.0	s  ɑ̃  b  ɑ  t  
senbioz 1.0	ss an bb yy oo 
senbioz 1.0	ss an bb yy oo zz 
senbioz 1.0	s  ɑ̃  b  j  ɔ  
senbioz 1.0	s  ɑ̃  b  j  ɔ  z  
sendomeng 1.0	ss an dd oo mm an 
sendomeng 1.0	ss an dd oo mm an kk 
sendomeng 1.0	s  ɑ̃  d  ɔ  m  ɑ̃  
sendomeng 1.0	s  ɑ̃  d  ɔ  m  ɑ̃  k  
senk 1.0	ss an kk 
senk 1.0	s  ɑ̃  k  
senkan 1.0	ss an kk an 
senkan 1.0	ss an kk an nn 
senkan 1.0	s  ɑ̃  k  ɑ̃  
senkan 1.0	s  ɑ̃  k  ɑ̃  n  
senkant 1.0	ss an kk an 
senkant 1.0	ss an kk an tt 
senkant 1.0	s  ɑ̃  k  ɑ̃  
senkant 1.0	s  ɑ̃  k  ɑ̃  t  
senkè 1.0	ss an kk ai 
senkè 1.0	s  ɑ̃  k  ɛ  
senmawten 1.0	ss an mm aa ww tt ai nn 
senmawten 1.0	s  ɑ̃  m  ɑ  w  t  ɛ  n  
senné 1.0	ss ai nn ei 
senné 1.0	s  ɛ  n  e  
senp 1.0	ss an pp 
senp 1.0	s  ɑ̃  p  
sent 1.0	ss 
sent 1.0	ss tt 
sent 1.0	s  
sent 1.0	s  t  
sentann 1.0	ss an tt an nn 
sentann 1.0	s  ɑ̃  t  ɑ̃  n  
senten 1.0	ss an tt ai nn 
senten 1.0	s  ɑ̃  t  ɛ  n  
sentèn 1.0	ss an tt ai nn 
sentèn 1.0	s  ɑ̃  t  ɛ  n  
senti 1.0	ss an tt ii 
senti 1.0	s  ɑ̃  t  i  
sentimantal 1.0	ss an tt ii mm an tt aa ll 
sentimantal 1.0	s  ɑ̃  t  i  m  ɑ̃  t  ɑ  l  
sentkwa 1.0	ss an tt kk ww aa 
sentkwa 1.0	s  ɑ̃  t  k  w  ɑ  
séparé 1.0	ss ei pp aa rr ei 
séparé 1.0	s  e  p  ɑ  ʁ  e  
sept 1.0	ss ai tt 
sept 1.0	s  ɛ  t  
séré 1.0	ss ei rr ei 
séré 1.0	s  e  ʁ  e  
sérémoni 1.0	ss ei rr ei mm oo nn ii 
sérémoni 1.0	s  e  ʁ  e  m  ɔ  n  i  
sérémoni-lasa 1.0	ss ei rr ei mm oo nn ii ll aa zz aa 
sérémoni-lasa 1.0	s  e  ʁ  e  m  ɔ  n  i  l  ɑ  z  ɑ  
sériz 1.0	ss ei rr ii 
sériz 1.0	ss ei rr ii zz 
sériz 1.0	s  e  ʁ  i  
sériz 1.0	s  e  ʁ  i  z  
sesi 1.0	ss ee zz ii 
sesi 1.0	ss zz ii 
sesi 1.0	s  ə  z  i  
sesi 1.0	s  z  i  
sèt 1.0	ss ai 
sèt 1.0	ss ai tt 
sèt 1.0	s  ɛ  
sèt 1.0	s  ɛ  t  
sètadi 1.0	ss ai tt aa dd ii 
sètadi 1.0	s  ɛ  t  ɑ  d  i  
sèten 1.0	ss ai tt ai nn 
sèten 1.0	s  ɛ  t  ɛ  n  
sètèn 1.0	ss ai tt ai nn 
sètèn 1.0	s  ɛ  t  ɛ  n  
sèvi 1.0	ss ai vv ii 
sèvi 1.0	s  ɛ  v  i  
sèvi-yo 1.0	ss ai vv ii yy au 
sèvi-yo 1.0	s  ɛ  v  i  j  o  
sèwkèy 1.0	ss ai ww kk ai ii 
sèwkèy 1.0	s  ɛ  w  k  ɛ  i  
sexuelle 1.0	ss ai kk ss uy ai ll 
sexuelle 1.0	s  ɛ  k  s  ɥ  ɛ  l  
sexuelles 1.0	ss ai kk ss uy ai ll 
sexuelles 1.0	ss ai kk ss uy ai ll zz 
sexuelles 1.0	s  ɛ  k  s  ɥ  ɛ  l  
sexuelles 1.0	s  ɛ  k  s  ɥ  ɛ  l  z  
sé'y 1.0	ss ei ii 
sé'y 1.0	s  e  i  
sé-y 1.0	ss ei ii 
sé-y 1.0	s  e  i  
sèy 1.0	ss ai ii 
sèy 1.0	s  ɛ  i  
sèz 1.0	ss ai 
sèz 1.0	ss ai zz 
sèz 1.0	s  ɛ  
sèz 1.0	s  ɛ  z  
"sézèv" 1.0	gg ii yy ee mm ei 
"sézèv" 1.0	gg ii yy mm ei 
"sézèv" 1.0	g  i  j  ə  m  e  
"sézèv" 1.0	g  i  j  m  e  
sézon 1.0	ss ei zz on 
sézon 1.0	ss ei zz on nn 
sézon 1.0	s  e  z  ɔ̃  
sézon 1.0	s  e  z  ɔ̃  n  
si 1.0	ss ii 
si 1.0	s  i  
sibi 1.0	ss ii bb ii 
sibi 1.0	s  i  b  i  
sicrée 1.0	ss ii kk rr ei 
sicrée 1.0	s  i  k  ʁ  e  
sid 1.0	ss ii 
sid 1.0	ss ii tt 
sid 1.0	s  i  
sid 1.0	s  i  t  
sifi 1.0	ss ii ff ii 
sifi 1.0	s  i  f  i  
signification 1.0	ss ii nn yy ii ff ii kk aa ss yy on 
signification 1.0	ss ii nn yy ii ff ii kk aa ss yy on nn 
